Symbiodinium42993	PFAM SMP-30 Gluconolaconase
Symbiodinium37180	PFAM Mannitol dehydrogenase
Symbiodinium1874	ubiquitin-protein transferase activity
Symbiodinium35064	Belongs to the cyclin family
Symbiodinium44269	6phosphofructo2kinase
Symbiodinium34560	Belongs to the nonaspanin (TM9SF) (TC 9.A.2) family
Symbiodinium46617	D-galactarate dehydratase Altronate
Symbiodinium25280	polyketide synthase
Symbiodinium57478	Opioid growth factor receptor (OGFr) conserved region
Symbiodinium35816	KIAA1430 homologue
Symbiodinium29427	NAD( )-dependent glutamate dehydrogenase which degrades glutamate to ammonia and alpha-ketoglutarate
Symbiodinium28819	axoneme assembly
Symbiodinium27195	Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. CO I is the catalytic subunit of the enzyme. Electrons originating in cytochrome c are transferred via the copper A center of subunit 2 and heme A of subunit 1 to the bimetallic center formed by heme A3 and copper B
Symbiodinium8648	2' O-ribose methyltransferase Mrm2
Symbiodinium7392	May be involved in fusion of retrograde transport vesicles derived from an endocytic compartment with the Golgi complex
Symbiodinium37166	Ubiquitin fusion degradation
Symbiodinium41546	Glycerol-3-phosphate dehydrogenase
Symbiodinium64361	Ser thr kinase. Source PGD
Symbiodinium42841	catalytic domain of ctd-like phosphatases
Symbiodinium31456	catalytic domain of ctd-like phosphatases
Symbiodinium69382	neuronal
Symbiodinium29323	Voltage gated chloride channel
Symbiodinium20312	spermatogenesis associated 4
Symbiodinium12959	ATP-dependent DNA helicase
Symbiodinium53915	magnesium ion export from mitochondrion
Symbiodinium35519	Calcium-dependent protein kinase
Symbiodinium43862	thiol-dependent ubiquitin-specific protease activity
Symbiodinium19058	helicase activity
Symbiodinium29524	Mitogen-activated protein kinase
Symbiodinium43781	Belongs to the peptidase C2 family
Symbiodinium49555	Memo-like protein
Symbiodinium34582	transcription initiation from RNA polymerase III promoter
Symbiodinium26408	cell division
Symbiodinium51465	Serine aminopeptidase, S33
Symbiodinium41862	Prolyl 4-hydroxylase alpha subunit homologues.
Symbiodinium26415	Green fluorescent protein
Symbiodinium20403	DNA repair protein
Symbiodinium30556	Belongs to the AAA ATPase family
Symbiodinium54050	protein disulfide isomerase activity
Symbiodinium7020	FKBP-type peptidyl-prolyl cis-trans isomerase
Symbiodinium37214	Belongs to the DEAD box helicase family
Symbiodinium33635	Formate/nitrite transporter
Symbiodinium42656	Enoyl-(Acyl carrier protein) reductase
Symbiodinium8157	Inhibitor of apoptosis-promoting Bax1
Symbiodinium43042	isochorismatase domain-containing protein
Symbiodinium6170	response to arachidonic acid
Symbiodinium50268	ubiquitin-protein transferase activity
Symbiodinium27869	Dienelactone hydrolase family
Symbiodinium10809	CAAX-protein geranylgeranyltransferase activity
Symbiodinium26481	Hsp90 protein
Symbiodinium7399	Metal dependent phosphohydrolases with conserved 'HD' motif.
Symbiodinium41932	TPR Domain containing protein. Source PGD
Symbiodinium23795	cysteine biosynthetic process from serine
Symbiodinium22486	Aldo/keto reductase family
Symbiodinium48151	Actin
Symbiodinium9723	NADPH:sulfur oxidoreductase activity
Symbiodinium42144	Calsequestrin
Symbiodinium28354	Trichohyalin-plectin-homology domain
Symbiodinium48214	ATP-dependent protease La (LON) substrate-binding domain
Symbiodinium40741	heme binding
Symbiodinium8286	homolog subfamily C member
Symbiodinium42520	Belongs to the class-I aminoacyl-tRNA synthetase family
Symbiodinium46456	peptide-methionine (S)-S-oxide reductase activity
Symbiodinium15580	ATP binding
Symbiodinium7422	protein serine/threonine kinase activity
Symbiodinium57800	3'-5' exonuclease activity
Symbiodinium20289	protein-disulfide reductase activity
Symbiodinium51930	Glycosyltransferase (GlcNAc)
Symbiodinium40305	Eukaryotic initiation factor 4E
Symbiodinium5064	Neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase
Symbiodinium53172	GTPase that associates with the 50S ribosomal subunit and may have a role during protein synthesis or ribosome biogenesis
Symbiodinium18735	Belongs to the universal ribosomal protein uS19 family
Symbiodinium19452	ribosomal protein
Symbiodinium9065	calmodulin-dependent protein kinase activity
Symbiodinium11473	Calponin homology domain
Symbiodinium30493	DNA repair protein RAD51 homolog
Symbiodinium46704	regulation of vesicle fusion
Symbiodinium45352	AAA domain, putative AbiEii toxin, Type IV TA system
Symbiodinium56629	RNA exonuclease 4
Symbiodinium46473	Cold shock protein
Symbiodinium50049	-
Symbiodinium44120	epimerase dehydratase
Symbiodinium9561	Thiopurine S-methyltransferase (TPMT)
Symbiodinium53552	dynein intermediate chain
Symbiodinium34215	ATPase (AAA
Symbiodinium16497	DNA mismatch repair protein
Symbiodinium28703	sperm axoneme assembly
Symbiodinium40235	integrin-mediated signaling pathway
Symbiodinium13084	Protein phosphatase 2A regulatory B subunit (B56 family)
Symbiodinium27129	Reversible hydration of carbon dioxide
Symbiodinium28820	cysteine-type peptidase activity
Symbiodinium7862	[acyl-carrier-protein] S-malonyltransferase activity
Symbiodinium20471	Guanine nucleotide binding protein beta subunit
Symbiodinium700	U-box domain
Symbiodinium20276	RNA dependent RNA polymerase
Symbiodinium40405	2OG-Fe(II) oxygenase superfamily
Symbiodinium50949	helicase MAGATAMA
Symbiodinium22272	GH3 domain-containing
Symbiodinium47838	EF-hand domain pair
Symbiodinium38959	oxidation-reduction process
Symbiodinium40925	protein serine/threonine kinase activity
Symbiodinium58821	HNH endonuclease domain protein
Symbiodinium12352	MIZ/SP-RING zinc finger
Symbiodinium31181	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Symbiodinium8713	Histidine kinase-like ATPases
Symbiodinium20303	EF-hand domain
Symbiodinium35342	EF hand
Symbiodinium17612	Belongs to the GPI family
Symbiodinium35027	Trifunctional enzyme bearing the Gln amidotransferase (GATase) domain of anthranilate synthase, indole-glycerolphosphate synthase, and phosphoribosylanthranilate isomerase activities
Symbiodinium51560	Small ribosomal subunit Rsm22 protein
Symbiodinium9462	Non-specific serine threonine protein kinase
Symbiodinium28168	assists the folding of proteins upon ATP hydrolysis
Symbiodinium29901	Ras of Complex, Roc, domain of DAPkinase
Symbiodinium33779	water channel activity
Symbiodinium28695	Radial spokehead-like protein
Symbiodinium50928	acetylcholine transport
Symbiodinium27706	Belongs to the glycosyl hydrolase 7 (cellulase C) family
Symbiodinium30288	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
Symbiodinium55048	Pfam:zf-DHHC
Symbiodinium9884	alkylated DNA
Symbiodinium44681	acetylcholine-gated cation-selective channel activity
Symbiodinium11375	Belongs to the class I-like SAM-binding methyltransferase superfamily. rRNA adenine N(6)-methyltransferase family
Symbiodinium29033	heat shock
Symbiodinium28482	secondary active sulfate transmembrane transporter activity
Symbiodinium9772	ammonium transporteR
Symbiodinium19783	U4 snRNA binding
Symbiodinium52522	cytochrome C
Symbiodinium52317	Haloacid dehalogenase-like hydrolase
Symbiodinium10787	SNF2 family N-terminal domain
Symbiodinium6025	Belongs to the protein kinase superfamily
Symbiodinium37614	Sporangia induced mitogen-activated protein kinase. Source PGD
Symbiodinium29587	Calcium-dependent protein kinase
Symbiodinium49636	Proton-dependent Oligopeptide Transporter (POT) Family. Source PGD
Symbiodinium31091	Belongs to the MIP aquaporin (TC 1.A.8) family
Symbiodinium54749	Domain of unknown function (DUF1768)
Symbiodinium16642	beta-galactosidase
Symbiodinium54064	RNA pseudouridylate synthase
Symbiodinium22550	microtubule motor activity
Symbiodinium9286	Sec63 Brl domain
Symbiodinium54105	methyltransferase activity
Symbiodinium41488	dynein light intermediate chain binding
Symbiodinium7424	Dual specificity phosphatase, catalytic domain
Symbiodinium48959	Belongs to the DEAD box helicase family
Symbiodinium33715	Glycosyl hydrolase catalytic core
Symbiodinium24224	Heat shock protein
Symbiodinium15357	2-aminoadipate transaminase activity
Symbiodinium35105	procollagen-lysine 5-dioxygenase activity
Symbiodinium43580	DNA damage response, detection of DNA damage
Symbiodinium26849	Green fluorescent protein
Symbiodinium7545	Putative methyltransferase
Symbiodinium51623	Conserved hypothetical ATP binding protein
Symbiodinium20394	PFAM FAD binding domain of DNA photolyase
Symbiodinium74623	PKS_KR
Symbiodinium30936	Rhodanese Homology Domain
Symbiodinium9540	Ras-induced vulval development antagonist
Symbiodinium55877	CCR4-associated factor 1 homolog
Symbiodinium42715	Belongs to the universal ribosomal protein uL24 family
Symbiodinium56350	Belongs to the protein kinase superfamily
Symbiodinium32494	DNL-type zinc finger
Symbiodinium5571	Molecular chaperone DnaJ
Symbiodinium54300	Ketopantoate reductase PanE/ApbA C terminal
Symbiodinium38963	Belongs to the protein kinase superfamily
Symbiodinium53568	negative regulation of pre-miRNA processing
Symbiodinium56264	heat shock protein binding
Symbiodinium16541	C-4 methylsterol oxidase activity
Symbiodinium26664	pyrimidine deoxyribonucleoside monophosphate catabolic process
Symbiodinium28391	Proteasome subunit alpha type
Symbiodinium40431	Ran-binding domain
Symbiodinium56654	Removes the formyl group from the N-terminal Met of newly synthesized proteins. Requires at least a dipeptide for an efficient rate of reaction. N-terminal L-methionine is a prerequisite for activity but the enzyme has broad specificity at other positions
Symbiodinium29387	Belongs to the thiolase family
Symbiodinium11566	Ribosomal protein L3
Symbiodinium39885	spectrin binding
Symbiodinium37882	Belongs to the phosphatase 2A regulatory subunit
Symbiodinium21984	protein serine/threonine kinase activity
Symbiodinium44418	acetylcholinesterase activity
Symbiodinium30332	Belongs to the DEAD box helicase family
Symbiodinium15592	Protein phosphatase 2A homologues, catalytic domain.
Symbiodinium37350	UbiA prenyltransferase family
Symbiodinium71075	rescue of stalled ribosome
Symbiodinium31622	46 kDa FK506-binding nuclear protein
Symbiodinium47422	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family
Symbiodinium27680	Belongs to the pirin family
Symbiodinium55244	PFAM Dienelactone hydrolase family
Symbiodinium51897	Component of the cytosolic iron-sulfur (Fe S) protein assembly (CIA) machinery. Required for maturation of extramitochondrial Fe-S proteins. The NBP35-CFD1 heterotetramer forms a Fe-S scaffold complex, mediating the de novo assembly of an Fe-S cluster and its transfer to target apoproteins
Symbiodinium32543	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
Symbiodinium12109	negative regulation of inclusion body assembly
Symbiodinium5883	Cupin-like domain
Symbiodinium34492	sulfuric ester hydrolase activity
Symbiodinium25475	phosphatidylcholine-translocating ATPase activity
Symbiodinium32502	HEAT-like repeat
Symbiodinium23143	Mitochondrial protein Pet127
Symbiodinium32116	3'5'-cyclic nucleotide phosphodiesterase
Symbiodinium33314	calcium ion binding
Symbiodinium8290	Multidrug resistance-associated protein
Symbiodinium16814	Alpha beta hydrolase
Symbiodinium29066	cysteine-type peptidase activity
Symbiodinium49774	HBS1-like (S. cerevisiae)
Symbiodinium35203	cGMP-dependent protein kinase 1
Symbiodinium27624	Signal recognition particle receptor beta subunit
Symbiodinium49168	KR domain
Symbiodinium40678	divalent anion Na symporter
Symbiodinium68689	C-type cytochrome. Part of the cbb3-type cytochrome c oxidase complex
Symbiodinium34431	mRNA 3'-end processing
Symbiodinium31070	N-6 adenine-specific DNA methyltransferase 1
Symbiodinium21560	hypoxanthine salvage
Symbiodinium35193	Cleavage stimulation factor, 3' pre-RNA, subunit 1
Symbiodinium29072	intraciliary transport
Symbiodinium45460	Serine/Threonine protein kinases, catalytic domain
Symbiodinium34314	RNA recognition motif
Symbiodinium55964	Specifically catalyzes the N1-methylation of pseudouridine at position 54 (Psi54) in tRNAs
Symbiodinium21746	Na+/Pi-cotransporter
Symbiodinium39160	Anaphase-promoting complex, cyclosome, subunit 3
Symbiodinium53028	F-Box protein
Symbiodinium55745	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
Symbiodinium42242	Multidrug efflux transporter
Symbiodinium41066	alpha-amylase
Symbiodinium53609	cysteine desulfurase activity
Symbiodinium24493	Wu fj29h11
Symbiodinium44064	Dual specificity phosphatase, catalytic domain
Symbiodinium8797	Formyl transferase, C-terminal domain
Symbiodinium25982	AAA domain
Symbiodinium28686	Chlorophyll A-B binding protein
Symbiodinium19543	Belongs to the phosphoglycerate mutase family. BPG- dependent PGAM subfamily
Symbiodinium50724	motor activity
Symbiodinium43789	tRNA (cytosine-5-)-methyltransferase activity
Symbiodinium21540	deaminase activity
Symbiodinium33827	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Symbiodinium35049	Cys/Met metabolism PLP-dependent enzyme
Symbiodinium27316	cytoplasmic translation
Symbiodinium47710	Belongs to the AAA ATPase family
Symbiodinium43447	tpr repeat protein
Symbiodinium5131	ATP binding
Symbiodinium41086	Zinc-binding dehydrogenase
Symbiodinium34966	alanine aminotransferase
Symbiodinium8494	Uncharacterised ACR, YagE family COG1723
Symbiodinium50541	secondary active sulfate transmembrane transporter activity
Symbiodinium23493	Belongs to the small GTPase superfamily. Arf family
Symbiodinium38346	Zinc finger, CCCH type
Symbiodinium55832	Protein of unknown function (DUF1601)
Symbiodinium23130	homolog subfamily B member
Symbiodinium38993	Chlorophyll A-B binding protein
Symbiodinium37297	alanine aminotransferase
Symbiodinium50368	DnaJ molecular chaperone homology domain
Symbiodinium40599	adenine phosphoribosyltransferase activity
Symbiodinium24384	Dual specificity phosphatase, catalytic domain
Symbiodinium9515	N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)
Symbiodinium51549	biogenesis factor 2
Symbiodinium31718	intraciliary transport
Symbiodinium8053	Functions in the early steps of protein synthesis of a small number of specific mRNAs. Acts by directing the binding of methionyl-tRNAi to 40S ribosomal subunits. In contrast to the eIF- 2 complex, it binds methionyl-tRNAi to 40 S subunits in a codon- dependent manner, whereas the eIF-2 complex binds methionyl-tRNAi to 40 S subunits in a GTP-dependent manner. May act by impiging the expression of specific proteins
Symbiodinium7496	Encoded by
Symbiodinium36581	protein with SCP PR1 domains
Symbiodinium53929	Oxidoreductase family, NAD-binding Rossmann fold
Symbiodinium40382	cobalamin synthesis protein
Symbiodinium24053	glutathione s-transferase
